#objID,g,r,i,u
1237645941298365265,22.37704,21.46292,21.27855,22.62063
1237645941298365262,22.67309,21.45321,20.22283,22.80744
1237645941298365256,25.2987,21.54976,21.0075,26.37458
1237645941298365253,22.97237,21.85794,21.08565,23.17274
1237645941298365251,22.78929,21.30881,20.81477,23.06566
1237645941298365249,23.25362,21.87697,20.99169,25.08118
1237645941298365245,23.16433,21.79026,21.65026,22.88037
1237645941298365244,22.89195,21.86197,21.38907,24.27921
1237645941298365232,23.1089,21.40654,20.99187,23.52423
1237645941298365229,23.28447,21.43587,20.59178,25.85677
1237645941298365220,22.91968,21.75,21.37084,23.71686
1237645941298365212,22.66598,20.99504,20.33891,22.5008
1237645941298365211,22.54127,21.62565,21.51616,22.79855
1237645941298365210,23.60518,21.95243,20.92861,23.87906
1237645941298365206,23.27716,21.76026,20.80913,25.14983
1237645941298365200,22.99141,21.68534,20.62677,23.27678
1237645941298365199,22.9664,21.83689,21.58434,23.71252
1237645941298365198,22.77733,21.45338,20.63019,23.7253
1237645941298365194,23.9113,21.95844,21.87587,23.68691
1237645941298365193,23.15162,21.34792,20.31016,23.8768
1237645941298365191,23.2507,21.00205,20.02844,24.67272
1237645941298365190,24.34983,21.10365,20.37136,23.4299
1237645941298365185,22.26978,20.6454,19.90984,23.61431
1237645941298365177,22.45144,20.28971,19.31809,26.17869
1237645941298365175,23.85477,21.60049,21.53786,24.96822
1237645941298365169,22.98295,21.39618,20.329,23.04998
1237645941298365166,22.85872,21.64795,21.99497,24.49925
1237645941298365165,22.52342,21.95124,21.6063,22.54844
1237645941298365158,23.76023,21.5984,20.56997,24.62938
1237645941298365157,23.26866,21.87311,21.63385,22.72997
1237645941298365145,22.99657,21.26754,20.36845,23.56169
1237645941298365144,22.71506,21.08257,20.14651,22.38346
1237645941298365131,21.58487,20.96875,20.92012,22.25813
1237645941298365130,22.42051,20.76354,19.7652,24.80925
1237645941298365128,22.24818,20.51974,19.9534,23.31174
1237645941298365123,22.43003,21.77888,21.84982,23.24261
1237645941298365122,22.59528,21.35778,21.08878,25.74148
1237645941298365121,22.08748,21.74096,21.08191,24.50327
1237645941298365118,22.55933,21.4545,20.94662,22.91416
1237645941298365115,21.40497,20.97917,20.54534,22.55963
1237645941298365114,21.33685,20.48807,19.9647,22.43775
1237645941296726876,22.53183,21.95049,21.41817,22.4126
1237645941296726875,22.78706,21.62959,22.05034,23.37976
1237645941296726873,23.05528,21.78087,21.71416,22.88425
1237645941296726871,22.22856,20.41505,21.65627,22.55407
1237645941296726869,21.95488,21.17262,21.32317,24.23908
1237645941296726868,24.16722,21.38844,22.43106,22.03584
1237645941296726865,19.52199,19.40636,30.00405,28.37583
1237645941296726863,22.45458,21.9865,21.56877,23.00937
1237645941296726825,22.44937,21.15058,20.41487,21.83822
1237645941296726788,22.17574,21.8641,20.55627,25.62995
1237645941296726758,22.77002,21.95923,21.53442,23.78322
1237645941296726754,23.04025,21.97122,21.40191,24.28548
1237645941296726753,24.35454,21.34892,20.34911,25.20103
1237645941296726752,22.72258,20.89075,20.42756,25.4134
1237645941296726750,22.44499,21.44415,22.85085,24.75002
1237645941296726747,23.74875,21.42247,20.97127,25.46111
1237645941296726746,23.12794,21.56207,20.66657,22.83944
1237645941296726745,22.93363,21.62609,21.48283,25.32835
1237645941296726740,22.94529,21.80876,21.34183,24.04408
1237645941296726737,23.33624,21.432,20.31675,24.67321
1237645941296726736,22.99805,21.39647,20.61502,25.10902
1237645941296726734,23.74956,21.91733,20.63308,25.06039
1237645941296726732,21.48091,20.57657,20.541,23.346
1237645941296726729,22.61461,21.84557,22.00634,22.4596
1237645941296726728,23.34929,21.20722,20.84953,22.91701
1237645941296726717,22.86166,21.89003,21.50714,26.49938
1237645941296726715,22.54781,21.82404,21.38186,22.70121
1237645941296726713,23.40677,21.77892,21.36588,25.56264
1237645941296726712,23.71461,21.59119,21.16005,26.86522
1237645941296726709,22.70669,21.70896,21.01715,24.83433
1237645941296726708,23.10382,20.57026,19.94171,25.66074
1237645941296726706,27.34447,20.516,20.08324,21.62917
1237645941296726705,22.74888,21.69314,21.43061,23.02737
1237645941296726704,22.91891,21.10366,20.48977,24.03081
1237645941296726703,22.66883,21.58346,20.51694,26.3366
1237645941296726701,24.25135,21.82334,21.09962,23.69152
1237645941296726699,24.03724,21.87741,21.60466,26.85503
1237645941296726697,23.28712,21.55166,21.6564,25.50397
1237645941296726694,23.64538,21.98621,21.75849,25.90715
1237645941296726692,23.26484,21.88069,21.3507,23.22031
1237645941296726691,24.248,21.94473,22.51543,26.15159
1237645941296726690,22.98739,21.79015,21.15312,25.43176
1237645941296726688,22.95291,21.79797,21.62168,22.69883
1237645941296726681,22.94189,21.95383,21.44238,22.65792
1237645941296726680,22.5154,21.11279,20.71766,22.46175
1237645941296726676,22.86646,21.67582,20.84437,25.51654
1237645941296726672,22.80466,20.97171,20.28437,22.80135
1237645941296726671,22.69098,20.79213,20.03591,23.38553
